Tipo de organización comunal;Nombre;Fecha elección;Hora elección;Lugar elección;Comunicación fecha de la elección;Resultado elección;Rol reclamación;Reclamación;Fallo de la reclamación
Organización comunitaria funcional;CLUB DEPORTIVO QUINCHILCA;20-02-2025;18:00 A 20:00 HORAS;SALA REUNIONES ESTADIO MUNICIPAL;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_13.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_13.pdf;;;
Organización comunitaria funcional;CLUB DEPORTIVO COLLILELFU;22-02-2025;15:30 A 21:30 HORAS;GIMNASIO LICEO ALBERTO BLEST GANA;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_14.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_14.pdf;;;
Organización comunitaria funcional;CLUB DEPORTIVO RENCA FUTBOL CLUB LOS LAGOS;27-02-2024;19:OO HORAS;CALLE RIO VALDIVIA N° 764, VILLA LOS RIOS;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_15.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_15.pdf;;;
Organización comunitaria funcional;CLUB DEPORTIVO CONDOR;28-02-2025;12:00 A 20:00 HORAS;SEDE CLUB DEPORTIVO CONDOR;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_16.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_16.pdf;;;
Junta de vecinos;JUNTA DE VECINOS PIEDRAS MORAS DEL VERGEL;27-02-2025;15:00 A 20:00 HORAS;SEDE PIEDRAS MORAS;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_17.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_17.pdf;;;
Organización comunitaria funcional;ASOCIACION DE FUTBOL RURAL COMUNA DE LOS LAGOS;22-02-2025;19:00 A 22:00 HORAS;ESTADIO MUNICIPAL;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_18.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_18.pdf;;;
Junta de vecinos;JUNTA DE VECINOS LAS MINAS DE PUNAHUE;02-03-2025;09:00 A 18:00 HORAS;SEDE SOCIAL PUNAHUE;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_19.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_19.pdf;;;
Organización comunitaria funcional;ANTILHUE RED SOLIDARIA;01-03-2025;14:00 HORAS;SEDE COMUNITARIA SECTOR ANTILHUE, COMUNA DE LOS LAGOS;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_20.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_20.pdf;;;
Junta de vecinos;JUNTA DE VECINOS PANCUL;08-03-2025;10:00 A 18:00 HORAS;SEDE COMUNITARIA SECTOR PANCUL;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_21.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_21.pdf;;;
Organización comunitaria funcional;CLUB DEPORTIVO CHANCO;09-03-2025;08:30 A 14:00 HORAS;SEDE JUNTA DE VECINOS CHANCO;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_22.pdf;;;;
Organización comunitaria funcional;COMITÉ DE AGUA POTABLE RURAL PANCUL;15-03-2025;10:00 A 18:00 HORAS;SEDE JUNTA DE VECINOS PANCUL;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_23.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_23.pdf;;;
Organización comunitaria funcional;AGRUPACIÓN DEPORTIVA DE ÁRBITROS DE LA COMUNA DE LOS LAGOS;06-03-2025;14:00 A 21:00 HORAS;SALA MULTIUSO ESTADIO MUNICIPAL DE LOS LAGOS;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_24.pdf;;;;
Junta de vecinos;JUNTA DE VECINOS VILLA LOS AROMOS;22-03-2025;14:00 HORAS;SEDE VILLA LOS AROMOS;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_25.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_25.pdf;;;
Junta de vecinos;JUNTA DE VECINOS LA VICTORIA;14-03-2025;16:00 A 20:00 HORAS;SEDE JUNTA DE VECINOS LA VICTORIA;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_26.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_26.pdf;;;
Organización comunitaria funcional;CLUB DEPORTIVO INDEPENDIENTE DE ANTILHUE.;15-03-2025;14:00 HORAS;SEDE CLUB INDEPENDIENTE DE ANTILHUE;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_27.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_27.pdf;;;
Organización comunitaria funcional;ESCUELA DE FÚTBOL LOS LAGOS;25-03-2025;17:00 A 21:00 HORAS;SALA DE REUNIONES ESTADIO SAMUEL VALK;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_28.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_28.pdf;;;
Organización comunitaria funcional;GRUPO ADULTO MAYOR DE CHANCO.;26-03-2025;15:00 HORAS;QUINCHO CHANCO S/N°;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_29.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_29.pdf;;;
Organización comunitaria funcional;AGRUPACIÓN DE PROFESORES PENSIONADOS VIDA NUEVA;28-03-2025;16:00 HORAS;VOLCAN SAN PEDRO N° 145;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_30.pdf;;;;
Organización comunitaria funcional;AGRUPACIÓN POR EL DESARROLLO SOCIAL CULTURAL Y DEPORTIVO SECTOR ESTACION AQUELARRE;26-03-2025;18:00 A 20:00 HORAS;CALLE RIÑIHUE N° 46;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_31.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_31.pdf;;;
Organización comunitaria funcional;COMITE DE VIVIENDA VILLA ALEGRIA.;28-03-2025;17:00 A 22:00 HORAS;SALON AUDITORIUM;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_32.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_32.pdf;;;
Organización comunitaria funcional;COMITÉ DE VIVIENDA POR UN VIVIR MEJOR.;29-03-2025;13:00 HORAS;SEDE JUNTA DE VECINOS VILLA SAN PEDRO;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_33.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_33.pdf;;;
Organización comunitaria funcional;COMITÉ DE AGUA POTABLE RURAL COLICO SUR.;06-04-2025;10:00 A 16:00 HORAS;QUINCHO RENE MUÑOZ, SECTOR COLLICO KM 835;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_34.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_34.pdf;;;
Organización comunitaria funcional;AGRUPACION DE PROFESORES PENSIONADOS VIDA NUEVA;03-04-2025;14:00 A 18:00 HORAS;VILLA SAN PEDRO, VOLCAN NEVADO N° 145;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_35.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_35.pdf;;;
Organización comunitaria funcional;CLUB DE ADULTO MAYOR EL REENCUENTRO DE FLOR DEL LAGO;11-04-2025;17:00 A 22:00 HORAS;CENTRO DE SALUD FLOR DEL LAGO;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_36.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_36.pdf;;;
Organización comunitaria funcional;AGRUPACIÓN DE ADULTO MAYOR USTARITZ;10-04-2025;14:00 HORAS;SEDE COMUNITARIA USTARITZ;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_37.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_37.pdf;;;
Organización comunitaria funcional;CLUB DEPORTIVO FERROVIARIO DE ANTILHUE;12-04-2025;14:00 A 20:00 HORAS;SEDE DEL CLUB DEPORTIVO;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_38.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_38.pdf;;;
Junta de vecinos;JUNTA DE VECINOS LAS LAJAS;12-04-2025;12:00 A 20:00 HORAS;SEDE JUNTA DE VECINOS LAS LAJAS;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_39.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_39.pdf;;;
Junta de vecinos;JUNTA DE VECINOS CHANCO;13-04-2025;08:30 A 14:00 HORAS;SEDE CHANCO;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_40.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_40.pdf;;;
Organización comunitaria funcional;AGRUPACIÓN EMPRENDEDORES SECTOR ESTACIÓN;26-04-2025;09:00 A 14:00 HORAS;FERIA SECTOR ESTACION;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_41.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_41.pdf;;;
Organización comunitaria funcional;AGRUPACION FERIA AGRICULTORES HORTOFRUTICOLAS Y PRODUCTOS LOCALES A FINES;22-01-2025;08:00 A 16:00 HORAS;FERIA HORTOFRUTICOLA;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_42.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_42.pdf;;;
Organización comunitaria funcional;AGRUPACION DE ADULTO MAYOR EL SALTO;22-04-2025;14:00 A 16:00 HORAS;POSTA EL SALTO;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_43.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_43.pdf;;;
Junta de vecinos;JUNTA DE VECINOS N°9 R. SANTA CARLA;30-04-2025;12:00 HORAS;SEDE SOCIAL SANTA CARLA;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_44.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_44.pdf;;;
Organización comunitaria funcional;CLUB DEPORTIVO REAL GUZMAN;04-05-2025;13:00 HORAS;SEDE SECTOR LOS ALAMOS;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_45.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_45.pdf;;;
Organización comunitaria funcional;COMITÉ DE SALUD QUILQUILCO;06-05-2025;16:00 HORAS;POSTA QUILQUILCO;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_46.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_46.pdf;;;
Organización comunitaria funcional;CLUB DEPORTIVO PUNAHUE;11-05-2025;11:00 HORAS;SEDE PUNAHUE;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_47.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_47.pdf;;;
Organización comunitaria funcional;GRUPO DE ADULTO MAYOR LIBRO DE SABIDURIA DE ANTILHUE;13-05-2025;14:00 HORAS;SEDE AGRUPACION;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_48.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_48.pdf;;;
Organización comunitaria funcional;CLUB DEPORTIVO INDEPENDIENTE PANCUL;10-05-2025;18:00 HORAS;SEDE COMUNITARIA PANCUL;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_49.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_49.pdf;;;
Organización comunitaria funcional;AGRUPACION DE ADULTO MAYOR Y ADULTO MAYOR LA ESTACION DEL RECUERDO;12-05-2025;15:00 HORAS;SEDE ESTACION;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_50.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_50.pdf;;;
Organización comunitaria funcional;CONCEJO VECINAL DE DESARROLLO VECINOS DEL HUMEDAL COLLILELFU;15-05-2025;14:00 HORAS;SEDE JJ.VV. COLLILELFU;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_51.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_51.pdf;;;
Organización comunitaria funcional;CLUB DEPORTIVO LOS CIRUELOS DE LA RIVERA DEL SAN PEDRO;17-05-2025;19:00 HORAS;SEDE SOCIAL CIRUELOS;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_52.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_52.pdf;;;
Organización comunitaria funcional;AGRUPACION DE PADRES, FAMILIARES Y AMIGOS DE PERSONAS CON TEA COMUNA DE LOS LAGOS;23-05-2025;17:00 HORAS;SEDE SOCIAL SECTOR HOSPITAL;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_53.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_53.pdf;;;
Organización comunitaria funcional;COMITÉ DE MEJORAMIENTO Y BIENESTAR DE VIVIENDA LOS LAGOS;22-05-2025;18:00 HORAS;SEDE VILLA LOS ALCALDES;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_54.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_54.pdf;;;
Junta de vecinos;JUNTA DE VECINOS RIÑIHUE;25-05-2025;09:00 HORAS;SEDE COMUNITARIA RIÑIHUE;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_55.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_55.pdf;;;
Organización comunitaria funcional;CLUB DEPORTIVO ALIANZA DE QUILQUILCO;25-05-2025;17:00 HORAS;SEDE CLUB;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_56.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_56.pdf;;;
Organización comunitaria funcional;RAICES ANCESTRALES DE ENCO;24-05-2025;10:00 HORAS;SEDE SOCIAL DE AGRUPACION;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_57.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_57.pdf;;;
Organización comunitaria funcional;CLUB DEPORTIVO FERROVIARIO DE ANTILHUE;24-05-2025;14:00 A 20:00 HORAS;SEDE CLUB DEPORTIVO;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_58.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_58.pdf;;;
Organización comunitaria funcional;CLUB DEPORTIVO FOLILCO;25-05-2025;12:00 A 18:00 HORAS;SEDE SOCIAL CLUB DEPORTIVO FOLILCO;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_59.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_59.pdf;;;
Organización comunitaria funcional;COMITÉ DE VIVIENDA RIVERA DE ANTILHUE;25-05-2025;16:00 A 18:00 HORAS;SEDE SOCIAL JJVV ANTILHUE;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_60.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_60.pdf;;;
Organización comunitaria funcional;COMITÉ DE VIVIENDA JUNTOS POR LA CASA PROPIA;20-05-2025;17:30 HORAS;SALON AUDITORIO;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_61.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_61.pdf;;;
Organización comunitaria funcional;COMITÉ DE AGUA POTABLE RURAL SAN PEDRO;31-05-2025;16:00 HORAS;SEDE SAN PEDRO;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_62.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_62.pdf;;;
Junta de vecinos;JUNTA DE VECINOS VILLA LOS BAJOS LOS BOLDOS;31-05-2025;10:00 A 15:00 HORAS;SEDE VILLA LOS BAJOS;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_63.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_63.pdf;;;
Organización comunitaria funcional;CLUB DEPORTIVO EL TREBOL;31-05-2025;10:00 A 14:00 HORAS;SEDE SOCIAL CLUB DEPORTIVO EL TREBOL;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_64.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_64.pdf;;;
Organización comunitaria funcional;COMITÉ DE DESARROLLO Y EVENTOS ANTILHUE;07-06-2025;18:00 HORAS;AVENIDA OHIGGINS N° 324, ANTILHUE;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_65.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_65.pdf;;;
Organización comunitaria funcional;COMITÉ VILLA EL SOL DE PUNAHUE;14-06-2025;12:00 HORAS;SEDE PUNAHUE;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_66.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_66.pdf;;;
Organización comunitaria funcional;CLUB TRAIL RUNNING LOS LAGOS;14-06-2025;16:00 HORAS;SALON ESTADIO MUNICIPAL;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_67.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_67.pdf;;;
Organización comunitaria funcional;AMIGAS DEL TELAR;09-06-2025;12:00 HORAS;SALON DIDECO;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_68.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_68.pdf;;;
Organización comunitaria funcional;AGRUPACION DE EX MINERO DE ANTILHUE;06/15/2025;10:00:00 HORAS;JJVV ANTILHUE;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_69.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_69.pdf;;;
Organización comunitaria funcional;COMITÉ DE ADELANTO FLOR DEL LAGO;06-08-2025;11:00:00 HORAS;CASONA CORPORACION RIÑIHUE;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_70.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_70.pdf;;;
Organización comunitaria funcional;COMITÉ DE ADELNTO LA PUNTILLA;06-08-2025;14:00:00 HORAS;FUNDO TRALCAN S/N;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_71.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_71.pdf;;;
Organización comunitaria funcional;COMITÉ DE ADELANTO LAS MERCEDES;06-08-2025;16:00:00 HORAS;FUNDO LAS MERCEDES-RIÑIHUE;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_72.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_72.pdf;;;
Junta de vecinos;JUNTA DE VECINOS USTARITZ;06/14/2025;12:00:00 HORAS;SEDE USTARITZ;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_73.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_73.pdf;;;
Organización comunitaria funcional;COMITÉ DE RIEGO LA LUMA;06-22-2025;10:00:00 HORAS;SEDE COMUNITARIA LA LUMA;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_74.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_74.pdf;;;
Organización comunitaria funcional;COMITÉ DE AGRICULTORES EL SERRUCHO;13-06-2025;15:00 HORAS;SECTOR EL SERRUCHO;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_75.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_75.pdf;;;
Junta de vecinos;JUNTA DE VECINOS VILLA LOS ALCALDES;22-06-2025;10:00 HORAS;SEDE JJ VV;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_76.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_76.pdf;;;
Organización comunitaria funcional;CLUB DEPORTIVO MORTAL BIKE;28-06-2025;14:00 HORAS;RAMON VALVERDE;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_77.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_77.pdf;;;
Organización comunitaria funcional;COMITE DE VIVIENDA TODOS POR UN SUEÑO EL SALTO;28-06-2025;09:00 HORAS;SEDE JJVV EL SALTO;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_78.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_78.pdf;;;
Organización comunitaria funcional;VOCES DEL TRALCAN;01-07-2025;15:00 HORAS;CASONA CULTURAL CORPORACION RIÑIHUE;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_79.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_79.pdf;;;
Junta de vecinos;JUNTA DE VECINOS CONDUCTOR NUÑEZ KM 4;28-06-2025;14:00 HORAS;ESCUELA LOS MAITENES;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_80.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_80.pdf;;;
Organización comunitaria funcional;CLUB DE RODEO LOS LAGOS;27-06-2025;19:00 A 22:00 HORAS;SEDE SOCIAL RODEO CHILENO LOS LAGOS;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_81.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_81.pdf;;;
Organización comunitaria funcional;COMITE DE VIVIENDA CONSTRUYENDO UN FUTURO;18-06-2025;13:40 HORAS;SEDE VILLA LOS RIOS;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_82.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_82.pdf;;;
Junta de vecinos;JUNTA DE VECINOS PIEDRAS MORAS;13-07-2025;11:00 HORAS;SEDE COMUNITARIA;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_83.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_83.pdf;;;
Organización comunitaria funcional;CENTRO DE PADRES Y APODERADOS ESCUELA NUEVA COLLILELFU;15-07-2025;08:00 HORAS;ESCUEA NUEVA COLLILELFU;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_84.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_84.pdf;;;
Organización comunitaria funcional;COMITÉ VILLA ROTONDA;03-07-2025;12:00 HORAS;SEDE SECTOR HOSPITAL;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_85.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_85.pdf;;;
Organización comunitaria funcional;CENTRO DE PADRES Y APODERADOS ESCUELA ENRIQUE HEVIA LABBE;02-07-2025;14:00 HORAS;ESCUELA ENRIQUE HEVIA LABBE;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_86.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_86a.pdf;;;
Organización comunitaria funcional;ARAÑITAS LABORIOSAS;09-07-2025;10:00 HORAS;SALON DIDECO;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_87.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_87.pdf;;;
Junta de vecinos;JUNTA DE VECINOS N°1 ANTILHUE;05-07-2025;12:00 HORAS;SEDE JUNTA DE VECIOS ANTILHUE;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_88.pdf;;;;
Organización comunitaria funcional;CLUB DEPORTIVO UNIÓN JUVENIL PELLINADA ALTA;06-07-2025;12:00 HORAS;SEDE SOCIAL JJ VV PELLINADA ALTA;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_89.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_89.pdf;;;
Organización comunitaria funcional;COMITÉ AGUA POTABLE RURAL COLO-COLO;12-07-2025;13:00 HORAS;SEDE SECTOR COLO COLO;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_90.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_90.pdf;;;
Junta de vecinos;JUNTA DE VECINOS EL TREBOL;06-07-2025;09:00 HORAS;SEDE JJ VV EL TREBOL;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_91.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_91.pdf;;;
Junta de vecinos;JUNTA DE VECINOS N°3 LIPINGUE;07-12-2025;12:00:00 HORAS;SEDE;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_92.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_92.pdf;;;
Organización comunitaria funcional;CLUB DE DEPORTES ADAPTADOS LOS LAGOS;23-07-2025;16:30:00 HORAS;SALON EMILIO OCARES;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_93.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_93.pdf;;;
Organización comunitaria funcional;GRUPO DE TEATRO ITINERANTE MUJERES EN ESCENA;26-07-2025;15:30:00 HORAS;SEDE VILLA LOS CIRUELOS;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_94.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_94.pdf;;;
Organización comunitaria funcional;UNION COMUNAL DE CLUBES DEPORTIVOS LOS LAGOS;21-07-2025;19:00:00 HORAS;SALA REUNION OMIL;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_95.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_95.pdf;;;
