Tipo de organización comunal;Nombre;Fecha elección;Hora elección;Lugar elección;Comunicación fecha de la elección;Resultado elección;Rol reclamación;Reclamación;Fallo de la reclamación
Organización comunitaria funcional;COMITÉ DE AGUA POTABLE RURAL LLASCAHUE;12-10-2025;14:00 HORAS;SEDE SECTOR LLASCAHUE;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_131.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_131.pdf;;;
Organización comunitaria funcional;CLUB ENDURO SIN MIEDO LOS LAGOS;19-10-2025;17:30 HORAS;FUNDO SANTA ANA;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_132.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_132.pdf;;;
Organización comunitaria funcional;CENTRO GENERAL DE PADRES Y APODERADOS ESCUELA ENRIQUE HEVIA LABBE;20-10-2025;14:00 HORAS;ESCUELA ENRIQUE HEVIA LABBE;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_133.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_133.pdf;;;
Organización comunitaria funcional;COMITÉ DE SEGURIDAD CIUDADANA VILLA LOS RIOS;25-10-2025;16:00 HORAS;SEDE JUNTA DE VECINOS VILLA LOS RIOS;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_134.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_134.pdf;;;
Organización comunitaria funcional;COMITÉ DE ADELANTO LOMAS FLOR DEL LAGO;01-11-2025;16:00 HORAS;CASA SERGIO CASTILLO;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_135.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_135.pdf;;;
Organización comunitaria funcional;COMITE DE VIVIENDA ALTOS DEL SAN PEDRO;25-10-2025;10:00 HORAS;SEDE CONDOR;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_136.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_136.pdf;;;
Organización comunitaria funcional;CENTRO GENERAL DE PADRES Y APODERADOS JARDIN INFANTIL PASITOS DEL FUTURO;29-10-2025;15:00 HORAS;JARDIN PASITOS DEL FUTURO;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_137.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_137.pdf;;;
Organización comunitaria funcional;GRUPO DE TEATRO ITINERANTE MUJERES EN ESCENA;27-10-2025;19:00 HORAS;SEDE VILLA LOS CIRUELOS;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_138.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_138.pdf;;;
Organización comunitaria funcional;CLUB ADULTO MAYOR LAS HUELLAS;28-10-2025;14:30 HORAS;SEDE LAS HUELLAS;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_139.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_139.pdf;;;
Organización comunitaria funcional;GUATITA DE DELANTAL LOS LAGOS;25-10-2025;13:00 HORAS;SEDE ESTACION;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_140.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_140.pdf;;;
Organización comunitaria funcional;ELECCIÓN DE AGRUPACIÓN HILOS DE AMISTAD;29-10-2025;15:00 HORAS;SEDE JJ VV LA NEVADA;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_141.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_141.pdf;;;
Organización comunitaria funcional;ELECCIÓN DE CLUB DEPORTIVO MORTAL BIKE;01-11-2025;16:00 HORAS;RAMON VALVERDE;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_142.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_142.pdf;;;
Junta de vecinos;ELECCIÓN DE JUNTA DE VECINOS TOMEN;09-11-2025;10:00 HORAS;SEDE VECINA TOMEN;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_143.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_143.pdf;;;
Junta de vecinos;ELECCIÓN DE JUNTA DE VECINOS ANTILHUE;15-11-2025;10:00 HORAS;SEDE COMUNITARIA ANTILHUE;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_144.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_144.pdf;;;
Organización comunitaria funcional;ELECCION DE CLUB DE CICLISMO DESCENSO ADRDH;01-12-2025;19:00 HORAS;SEDE JJ VV COLLILELFU;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_145.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_145.pdf;;;
Organización comunitaria funcional;ELECCIÓN DE COMITE DE VIVIENDA VILLA AITUE;08-11-2025;15:00 HORAS;POBLACION LOS PINOS VILLA LOS BAJOS;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_146.pdf;;;;
Organización comunitaria funcional;COMITÉ DE AGUA POTABLE RURAL LAS HUELLAS;08-11-2025;10:00 HORAS;SED COMUNITARIA LAS HUELLAS;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_147.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_147.pdf;;;
Junta de vecinos;JUNTA DE VECINOS EQUIL;15-11-2025;10:00 HORAS;PASAJE LAS PIEDRAS S/N;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_148.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_148.pdf;;;
Organización comunitaria funcional;UNION COMUNAL DE ADULTOS MAYORES;11-11-2025;12:00 HORAS;SEDE UCAM;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_149.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_149.pdf;;;
Organización comunitaria funcional;COMITÉ DE MEJORAMIENTO DE VIVIENDA COSTANERA LOS LAGOS;14-11-2025;19:00 HORAS;CALLE ELIAS HARCHA 34;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_150.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_150.pdf;;;
Organización comunitaria funcional;COMITÉ DE SALUD MANUEL MIRANDA;17-11-2025;15:00 HORAS;SEDE VILLA LOS AROMOS;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_151.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_151.pdf;;;
Organización comunitaria funcional;CLUB DE ADULTO Y ADULTOS MAYORES SECTOR HOSPITAL;12-11-2025;15:00 HORAS;SEDE JJ VV HOSPITAL;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_152.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_152.pdf;;;
Junta de vecinos;ELECCIÓN DE JUNTA DE VECINOS QUILMES;14-11-2025;18:30 HORAS;SEDE QUILME;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_153.pdf;;;;
Organización comunitaria funcional;AGRUPACIÓN DE MUJERES SEMBRADORAS DE ESPERANZA;18-11-2025;17:00 HORAS;SEDE VILLA LOS AROMOS;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_154.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_154.pdf;;;
Organización comunitaria funcional;COMITE DE MEJORAMIENTO DE VIVIENDA EL REFUGIO SECTOR HOSPITAL;19-11-2025;09:00 HORAS;DEPENDENCIAS MADERA TOMECO;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_155.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_155.pdf;;;
Junta de vecinos;JUNTA DE VECINOS COMUNIDAD AGRO MANQUELAF;18-11-2025;16:00 HORAS;SEDE JUNTA DE VECINOS;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_156.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_156.pdf;;;
Organización comunitaria funcional;COMITE DE MEJORAMIENTO Y DESARROLLO DEL SECTOR EQUIL;21-11-2025;19:00 HORAS;PASAJE LAS PIEDRAS;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_157.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_157.pdf;;;
Organización comunitaria funcional;CENTRO DE PADRES Y APODERADOS ESCUELA NUEVA ESPAÑA;25-11-2025;08:30 HORAS;ESCUELA NUEVA ESPAÑA;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_158.pdf;;;;
Organización comunitaria funcional;COMITÉ DE AGUA POTABLE RURAL EL TREBOL;23-11-2025;09:30 HORAS;SEDE EL TREBOL;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_159.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_159.pdf;;;
Organización comunitaria funcional;CENTRO GENERAL DE PADRES Y APODERADOS PATAGONIA;25-11-2025;14:00 HORAS;COLEGIO PATAGONIA;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_160.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_160.pdf;;;
